relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
9,2026-04-01 16:35:34,th-2,temperature,27.743333333333332,26.81,26.67111111111111,-0.9333333333333336,-1.0722222222222229,30,30,90
9,2026-04-01 16:35:34,th-2,humidity,30.466666666666665,30.166666666666668,29.477777777777778,-0.29999999999999716,-0.9888888888888872,30,30,90
9,2026-04-01 16:35:34,co2-1,temperature,27.37333333333333,27.30666666666667,26.944444444444443,-0.06666666666666288,-0.42888888888888843,30,30,90
9,2026-04-01 16:35:34,co2-1,humidity,36.083333333333336,35.52333333333333,35.29555555555555,-0.5600000000000023,-0.7877777777777837,30,30,90
9,2026-04-01 16:35:34,co2-1,co2,572.4333333333333,516.5333333333333,385.9111111111111,-55.89999999999998,-186.52222222222218,30,30,90
8,2026-04-01 16:35:44,th-1,temperature,27.406666666666666,26.576666666666668,26.464444444444446,-0.8299999999999983,-0.9422222222222203,30,30,90
8,2026-04-01 16:35:44,th-1,humidity,30.066666666666666,29.3,29.11111111111111,-0.7666666666666657,-0.9555555555555557,30,30,90
8,2026-04-01 16:35:44,th-2,temperature,27.743333333333332,26.81,26.67111111111111,-0.9333333333333336,-1.0722222222222229,30,30,90
8,2026-04-01 16:35:44,th-2,humidity,30.466666666666665,30.166666666666668,29.477777777777778,-0.29999999999999716,-0.9888888888888872,30,30,90
8,2026-04-01 16:35:44,co2-1,temperature,27.37333333333333,27.30666666666667,26.944444444444443,-0.06666666666666288,-0.42888888888888843,30,30,90
8,2026-04-01 16:35:44,co2-1,humidity,36.083333333333336,35.52333333333333,35.29555555555555,-0.5600000000000023,-0.7877777777777837,30,30,90
8,2026-04-01 16:35:44,co2-1,co2,572.4333333333333,516.5333333333333,385.9111111111111,-55.89999999999998,-186.52222222222218,30,30,90
2,2026-04-02 09:25:44,th-1,temperature,22.96,24.086666666666666,25.198888888888888,1.1266666666666652,2.238888888888887,30,30,90
2,2026-04-02 09:25:44,th-1,humidity,27.666666666666668,31.666666666666668,32.266666666666666,4.0,4.599999999999998,30,30,90
2,2026-04-02 09:25:44,th-2,temperature,23.21,24.356666666666666,25.513333333333332,1.1466666666666647,2.303333333333331,30,30,90
